Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,0.305,0.284,0.319,0.338,0.377,0.378,0.369,0.371,0.303,0.358,0.344
Millions of Metric tons of CO2,CO2 emissions,0.72,0.725,0.738,0.765,0.777,0.84,0.794,0.852,0.789,0.846,0.857
Millions of Metric tons of CO2,CO2 emissions,14.737,13.804,14.11,14.616,14.12,15.358,13.728,14.273,13.838,14.121,13.067
Millions of Metric tons of CO2,CO2 emissions,2.741,2.648,2.989,3.094,3.129,3.327,3.323,3.345,3.435,3.564,3.584
Millions of Metric tons of CO2,CO2 emissions,0.081,0.082,0.086,0.086,0.09,0.093,0.088,0.088,0.075,0.081,0.078
Millions of Metric tons of CO2,CO2 emissions,7.026,5.322,6.776,7.318,6.401,7.169,7.546,7.068,6.004,6.484,7.195
Millions of Metric tons of CO2,CO2 emissions,1.185,1.208,1.154,1.215,1.245,1.207,1.127,1.144,1.134,1.241,1.126
Millions of Metric tons of CO2,CO2 emissions,4.122,4.713,4.668,4.573,5.087,5.032,4.814,4.983,5.218,5.422,5.427
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.007,0.01,0.012,0.012,0.01,0.024,0.021,0.02,0.017
Millions of Metric tons of CO2,CO2 emissions,0.542,0.454,0.504,0.505,0.474,0.481,0.454,0.478,0.422,0.43,0.41
Millions of Metric tons of CO2,CO2 emissions,0.396,0.426,0.441,0.467,0.496,0.507,0.494,0.519,0.429,0.464,0.435
Millions of Metric tons of CO2,CO2 emissions,0.015,0.015,0.013,0.013,0.012,0.013,0.012,0.018,0.016,0.015,0.016
Millions of Metric tons of CO2,CO2 emissions,38.882,36.196,38.738,44.115,46.796,44.484,46.272,48.637,49.863,46.087,42.326
Millions of Metric tons of CO2,CO2 emissions,0.081,0.082,0.087,0.087,0.087,0.083,0.069,0.094,0.089,0.083,0.086
Millions of Metric tons of CO2,CO2 emissions,0.424,0.411,0.422,0.426,0.472,0.485,0.476,0.455,0.413,0.459,0.479
Millions of Metric tons of CO2,CO2 emissions,0.213,0.185,0.169,0.13,0.124,0.181,0.17,0.18,0.206,0.195,0.292
Millions of Metric tons of CO2,CO2 emissions,3.464,3.884,3.655,3.889,3.728,3.697,3.898,4.297,4.317,4.438,4.276
Millions of Metric tons of CO2,CO2 emissions,0.363,0.418,0.438,0.462,0.506,0.529,0.52,0.526,0.45,0.51,0.505
Millions of Metric tons of CO2,CO2 emissions,0.049,0.052,0.053,0.05,0.052,0.048,0.046,0.045,0.038,0.044,0.042
Millions of Metric tons of CO2,CO2 emissions,12.417,10.977,11.503,11.433,10.825,11.41,10.959,11.009,10.549,11.469,11.823
Millions of Metric tons of CO2,CO2 emissions,0.053,0.052,0.063,0.067,0.065,0.068,0.06,0.085,0.088,0.094,0.076
Millions of Metric tons of CO2,CO2 emissions,1.736,1.249,1.042,1.291,1.228,1.515,1.494,1.562,1.423,1.145,1.281
Millions of Metric tons of CO2,CO2 emissions,12.539,12.865,12.637,12.552,12.669,12.486,12.84,13.168,13.18,12.977,12.485
Millions of Metric tons of CO2,CO2 emissions,0.31,0.258,0.261,0.286,0.286,0.302,0.234,0.21,0.208,0.18,0.225
Millions of Metric tons of CO2,CO2 emissions,0.074,0.069,0.067,0.066,0.066,0.067,0.064,0.057,0.058,0.052,0.07
Millions of Metric tons of CO2,CO2 emissions,0.182,0.154,0.174,0.183,0.175,0.177,0.147,0.148,0.152,0.141,0.156
Millions of Metric tons of CO2,CO2 emissions,3.332,2.861,3.041,3.213,2.92,2.949,2.899,2.973,2.326,2.645,2.868
Millions of Metric tons of CO2,CO2 emissions,0.203,0.206,0.218,0.214,0.228,0.23,0.22,0.216,0.173,0.194,0.185
Millions of Metric tons of CO2,CO2 emissions,0.009,0.008,0.009,0.008,0.007,0.008,0.005,0.007,0.006,0.007,0.005
Millions of Metric tons of CO2,CO2 emissions,0.577,0.583,0.562,0.541,0.532,0.545,0.548,0.588,0.543,0.573,0.619
Millions of Metric tons of CO2,CO2 emissions,0.434,0.429,0.409,0.438,0.45,0.437,0.412,0.42,0.411,0.433,0.391
Millions of Metric tons of CO2,CO2 emissions,0.07,0.062,0.067,0.067,0.065,0.071,0.07,0.067,0.065,0.067,0.072
Millions of Metric tons of CO2,CO2 emissions,0.393,0.38,0.403,0.418,0.423,0.457,0.434,0.444,0.378,0.423,0.433
Millions of Metric tons of CO2,CO2 emissions,1.427,1.541,1.629,1.681,1.742,1.821,1.835,1.906,1.649,1.767,1.685
Millions of Metric tons of CO2,CO2 emissions,0.166,0.173,0.178,0.169,0.175,0.164,0.155,0.151,0.129,0.148,0.145
Millions of Metric tons of CO2,CO2 emissions,0.256,0.261,0.252,0.219,0.225,0.217,0.199,0.193,0.162,0.196,0.205
Millions of Metric tons of CO2,CO2 emissions,3.362,2.573,2.459,3.038,2.962,3.752,3.762,3.811,3.611,2.734,3.564
Millions of Metric tons of CO2,CO2 emissions,0.215,0.226,0.231,0.22,0.227,0.214,0.202,0.199,0.175,0.198,0.192
Millions of Metric tons of CO2,CO2 emissions,2.611,2.504,2.686,2.623,2.589,2.618,2.55,2.51,2.342,2.243,2.352
Millions of Metric tons of CO2,CO2 emissions,0.966,0.825,0.892,0.909,0.867,0.957,0.956,0.934,0.91,0.931,0.968
Millions of Metric tons of CO2,CO2 emissions,0.258,0.271,0.27,0.268,0.28,0.305,0.285,0.298,0.295,0.313,0.304
Millions of Metric tons of CO2,CO2 emissions,1.357,1.358,2.262,2.593,2.653,2.793,2.787,2.648,2.255,2.074,1.941
Millions of Metric tons of CO2,CO2 emissions,2.953,2.62,2.896,2.962,2.923,3.042,2.918,3.324,3.063,3.074,3.014
Millions of Metric tons of CO2,CO2 emissions,0.195,0.18,0.191,0.183,0.175,0.172,0.145,0.148,0.132,0.129,0.116
Millions of Metric tons of CO2,CO2 emissions,0.287,0.297,0.316,0.323,0.323,0.349,0.346,0.364,0.379,0.392,0.404
Millions of Metric tons of CO2,CO2 emissions,0.498,0.522,0.542,0.58,0.598,0.595,0.601,0.573,0.573,0.583,0.809
Millions of Metric tons of CO2,CO2 emissions,7.506,7.351,7.843,7.875,8.115,8.467,8.305,9.081,9.691,10.42,10.922
Millions of Metric tons of CO2,CO2 emissions,16.379,16.594,17.858,18.746,19.164,20.376,19.894,20.392,21.101,21.32,21.674
Millions of Metric tons of CO2,CO2 emissions,0.269,0.277,0.29,0.324,0.322,0.34,0.349,0.345,0.332,0.301,0.18
Millions of Metric tons of CO2,CO2 emissions,27.646,24.622,23.839,25.293,23.516,22.575,22.954,20.27,20.219,21.281,20.737
Millions of Metric tons of CO2,CO2 emissions,4.399,3.609,4.096,3.782,3.583,3.128,2.925,2.841,2.231,2.308,2.254
Millions of Metric tons of CO2,CO2 emissions,9.807,9.172,11.148,13.379,13.88,15.787,15.117,14.416,14.394,14.958,15.653
Millions of Metric tons of CO2,CO2 emissions,0.086,0.104,0.082,0.075,0.058,0.043,0.044,0.048,0.045,0.042,0.034
Millions of Metric tons of CO2,CO2 emissions,10.236,10.872,11.477,10.982,12.168,11.903,11.584,9.806,8.455,9.761,8.934
Millions of Metric tons of CO2,CO2 emissions,0.356,0.382,0.383,0.4,0.422,0.43,0.448,0.443,0.46,0.445,0.456
Millions of Metric tons of CO2,CO2 emissions,0.074,0.087,0.069,0.065,0.057,0.05,0.037,0.033,0.031,0.029,0.024
Millions of Metric tons of CO2,CO2 emissions,207.491,217.637,205.299,197.453,196.878,186.492,177.783,185.649,189.919,186.906,179.019
Millions of Metric tons of CO2,CO2 emissions,0.748,0.818,0.736,0.687,0.646,0.659,0.525,0.488,0.464,0.522,0.444
Millions of Metric tons of CO2,CO2 emissions,1.028,1.075,1.159,1.09,1.101,1.411,1.401,1.532,1.597,1.766,1.566
Millions of Metric tons of CO2,CO2 emissions,0.85,0.842,0.871,0.712,0.573,0.709,0.856,0.801,0.881,1.115,1.278
Millions of Metric tons of CO2,CO2 emissions,3.362,3.364,3.287,3.643,3.524,3.588,3.523,3.43,3.516,3.238,3.184
Millions of Metric tons of CO2,CO2 emissions,0.782,0.79,0.781,0.747,0.799,0.848,0.856,0.862,0.864,0.784,0.826
Millions of Metric tons of CO2,CO2 emissions,0.113,0.124,0.134,0.147,0.158,0.155,0.169,0.176,0.186,0.2,0.213
Millions of Metric tons of CO2,CO2 emissions,12.183,12.114,12.175,11.855,13.098,13.491,13.841,13.306,14.63,15.479,16.021
Millions of Metric tons of CO2,CO2 emissions,0.142,0.168,0.14,0.14,0.132,0.132,0.109,0.086,0.071,0.073,0.065
Millions of Metric tons of CO2,CO2 emissions,0.074,0.066,0.063,0.06,0.057,0.065,0.069,0.066,0.105,0.104,0.341
Millions of Metric tons of CO2,CO2 emissions,11.65,12.58,12.604,12.172,12.68,13.165,13.208,12.955,15.197,18.513,20.89
Millions of Metric tons of CO2,CO2 emissions,7.507,7.26,7.13,9.499,10.726,11.9,12.759,12.732,12.866,13.532,14.009
Millions of Metric tons of CO2,CO2 emissions,0.812,0.734,0.616,0.837,1.004,1.133,1.198,1.03,0.862,1.023,1.025
Millions of Metric tons of CO2,CO2 emissions,0.148,0.158,0.126,0.123,0.101,0.086,0.055,0.073,0.06,0.054,0.041
Millions of Metric tons of CO2,CO2 emissions,6.829,6.399,6.169,6.422,5.853,5.405,5.129,5.109,5.008,4.722,5.153
Millions of Metric tons of CO2,CO2 emissions,0.209,0.218,0.244,0.24,0.227,0.246,0.239,0.223,0.221,0.211,0.138
Millions of Metric tons of CO2,CO2 emissions,0.088,0.1,0.079,0.072,0.064,0.071,0.073,0.057,0.066,0.081,0.072
Millions of Metric tons of CO2,CO2 emissions,1.823,1.284,1.243,1.089,0.975,0.937,0.877,0.963,0.947,0.872,0.923
Millions of Metric tons of CO2,CO2 emissions,1.776,1.722,1.994,1.965,2.001,1.876,1.874,1.698,1.577,1.646,1.676
Millions of Metric tons of CO2,CO2 emissions,1.062,1.032,1.039,1.003,1.136,1.009,0.952,0.957,1.22,1.032,1.206
Millions of Metric tons of CO2,CO2 emissions,1.073,0.969,1.054,1.055,1.134,1.219,1.177,1.187,1.207,1.319,1.188
Millions of Metric tons of CO2,CO2 emissions,1.424,1.386,1.482,1.5,1.467,1.479,1.463,1.516,1.745,1.461,1.388
Millions of Metric tons of CO2,CO2 emissions,0.208,0.186,0.194,0.196,0.225,0.199,0.205,0.199,0.188,0.187,0.227
Millions of Metric tons of CO2,CO2 emissions,0.647,0.674,0.669,0.687,0.708,0.768,0.816,0.848,0.859,0.861,0.852
Millions of Metric tons of CO2,CO2 emissions,0.519,0.516,0.583,0.446,0.395,0.471,0.399,0.354,0.631,0.65,0.694
Millions of Metric tons of CO2,CO2 emissions,1.147,1.21,1.365,1.455,1.612,1.548,1.659,1.592,1.642,1.708,1.445
Millions of Metric tons of CO2,CO2 emissions,0.459,0.414,0.377,0.374,0.374,0.379,0.379,0.372,0.378,0.382,0.412
Millions of Metric tons of CO2,CO2 emissions,0.488,0.458,0.552,0.584,0.491,0.579,0.627,0.566,0.608,0.595,0.786
Millions of Metric tons of CO2,CO2 emissions,0.392,0.367,0.364,0.407,0.438,0.395,0.408,0.576,0.668,0.624,0.753
Millions of Metric tons of CO2,CO2 emissions,9.16,12.034,10.937,9.804,10.558,10.275,9.252,9.381,10.434,10.046,9.684
Millions of Metric tons of CO2,CO2 emissions,2.513,2.598,2.79,2.911,2.822,2.958,2.689,2.824,2.741,2.92,3.267
Millions of Metric tons of CO2,CO2 emissions,0.289,0.473,0.516,0.329,0.3,0.274,0.261,0.25,0.247,0.266,0.249
Millions of Metric tons of CO2,CO2 emissions,0.424,0.428,0.414,0.401,0.404,0.421,0.443,0.466,0.501,0.516,0.548
Millions of Metric tons of CO2,CO2 emissions,0.361,0.311,0.309,0.315,0.344,0.354,0.338,0.334,0.361,0.411,0.419
Millions of Metric tons of CO2,CO2 emissions,1.183,1.145,1.13,1.104,1.094,1.162,1.164,1.168,1.201,1.199,1.207
Millions of Metric tons of CO2,CO2 emissions,3.051,2.716,2.905,2.949,2.942,2.911,2.98,2.966,2.956,3.614,3.286
Millions of Metric tons of CO2,CO2 emissions,0.137,0.13,0.161,0.154,0.152,0.144,0.155,0.168,0.188,0.2,0.197
Millions of Metric tons of CO2,CO2 emissions,9.702,7.622,9.711,10.086,9.701,10.335,10.289,9.954,9.744,10.369,8.685
